Date,China,India,Norway,US,Japan,Thailand,Chile,vietnam,Indonesia
15/07/2020,0.043006677,-0.019792551,-0.065239938,0.536522669,-0.194746734,0.047904444,-0.001974611,0.043675064,-0.018265348
15/08/2020,-0.003992982,-0.057873287,-0.083563246,0.140753052,-0.046643601,0.004348463,0.209677761,0.00851069,0.013730193
15/09/2020,0.065511647,0.267990008,0.167561665,0.031994299,-0.13160074,0.01378936,-0.231530746,0.008438869,0
15/10/2020,-0.033926196,0.132408307,0.211161994,-0.023358112,0.229374074,0.186118429,-0.497704345,0.190689806,0
15/11/2020,0.149141378,-0.147713688,-0.113728269,-0.300670556,0.056155066,-0.0298099,0.275374126,-0.035339366,0.013544225
15/12/2020,0.023244871,-0.077163131,-0.045679513,-0.317572445,0.02360017,-0.056469649,-0.728408727,-0.051672011,0.008928631
15/01/2021,-0.083259845,-0.293581306,-0.09217331,-0.398528198,-0.340893423,-0.175989978,0.473230668,-0.146603474,0
15/02/2021,-0.620386907,0.044809904,0.063105061,0.38533934,0.139502072,-0.009279374,0.260614559,-0.00881063,0.004434597
15/03/2021,0.372804433,0.236336603,0.219541428,0.459083093,0.443828419,0.239295804,0.268033025,0.235456812,0
15/04/2021,0.10715665,0.04155379,-0.257470205,0.010395111,0.142136727,-0.165920587,-0.194977607,-0.167054085,0
15/05/2021,0.063668298,0.049322669,-0.006284742,-0.247080137,-0.243532336,0.094443503,-0.168730573,0.094558583,0.013187004
15/06/2021,-0.103924514,0.124056778,0.077202679,-0.142759992,0.058578244,0.18926012,-0.104823129,0.191055237,0.004357305
15/07/2021,0.008436049,0.099118041,0.048954813,0.723680916,0.050665612,-0.20809107,0.194690252,-0.206207042,-0.004357305
15/08/2021,0.071804097,-0.041061287,0.018281464,0.174525244,0.061379545,-0.03848203,-0.385292771,-0.038915416,0
15/09/2021,0.094761281,-0.023520583,0.209012507,0.084310425,-0.136815934,0.147210362,-0.292900784,0.147324715,0.004357305
15/10/2021,0.06464571,0.195270453,0.019669371,-0.171717071,0.088259698,-0.006988822,0.802400567,-0.006872879,0
15/11/2021,0.044247504,-0.099402563,-0.00959381,-0.206780714,-0.035595934,-0.031694091,-0.177989164,-0.03509132,0
15/12/2021,-0.047221001,-0.066032502,0.002992275,-0.500433814,0.193823464,0.040841964,0.022338333,0.041964199,0.008658063
15/01/2022,0.129786498,-0.272704586,-0.146375346,-0.252719853,-0.482110533,-0.114642752,-0.383818893,-0.085766822,0.008583744
15/02/2022,-0.81713711,-0.109683893,0.090673568,0.362242234,0.21400005,0.01520232,0.143643952,0.014815086,0
15/03/2022,0.502757049,0.197528442,0.095427963,0.312417788,0.256581231,0.199249984,0.669365903,0.199332903,0.003838776
15/04/2022,0.086501846,0.075131636,-0.08874265,-0.269694393,0.274055968,-0.175448678,-0.331383647,-0.177513855,0
15/05/2022,0.209849075,0.069618306,0.068809052,-0.138175232,-0.207846781,-0.087740043,0.137428452,-0.090286847,0.01814013
15/06/2022,-0.142413306,0.108921002,0.005110195,0.261987802,0.085334573,0.113510062,0.023865434,0.118657544,0.009983444
15/07/2022,0.033444688,-0.003993814,-0.07021183,0.46482347,-0.03317064,0.032464752,-0.058908333,0.027587957,0.000413822
15/08/2022,-0.081840317,-0.069583915,0.080479634,0.207429008,-0.100200978,-0.012267082,0.596944058,-0.006825965,0.007008893
15/09/2022,-0.028066609,0.059349254,0.160662476,-0.061426627,-0.076513695,0.011291234,-0.757905941,0.006825965,0.014682156
15/10/2022,0.11615608,0.016348384,0.037786923,-0.331436722,0.170199925,-0.259366565,0.009341633,-0.254234138,0.002022245
15/11/2022,0.015741595,0.004900753,-0.074175982,-0.357744061,-0.043078455,0.256678063,-0.184909594,0.254234138,-0.015472621
15/12/2022,0.070129404,-0.083503667,-0.038129834,-0.212776151,-0.05224198,-0.209712373,0.212910081,-0.211309094,-0.00493625
15/01/2023,-0.197219133,-0.161004063,-0.074070856,-0.103888155,-0.466962332,-0.160762691,-1.116265813,-0.025533302,0.004525825
15/02/2023,-0.354944704,-0.108429753,0.020254132,0.308356469,0.360620311,0.106494222,0.614986503,0.106222213,-0.016139394
15/03/2023,0.334714493,0.286004982,0.203162634,0.287880004,0.194834504,0.020814375,0.500658299,0.022989518,0.042072776
15/04/2023,-0.07625422,-0.167978143,-0.190565661,-0.158397383,0.15005005,-0.171148256,-0.228228847,-0.173271721,-0.169602784
15/05/2023,0.023438629,0.024575876,-0.007267542,-0.259849067,-0.133397186,0.217498016,0.316818273,0.217723484,0.02803922
15/06/2023,-0.114165015,0.011604896,0.124146211,-0.195876882,-0.005638903,0.041441588,0.057977909,0.042559614,0.009174376
15/07/2023,0.048695429,-0.014040202,-0.176518669,0.609735292,-0.032056912,-0.081878774,0.017876026,-0.079464171,-0.013793322
15/08/2023,-0.048631372,0.157036482,0.12386545,0.280909473,-0.288312219,0.173335184,-0.414971437,0.172245905,0.158111081
15/09/2023,0.020545603,0.073167363,0.115229455,-0.057705831,-0.181484987,-0.082349915,0.563099718,-0.078988411,0.072412578
15/10/2023,0.086692705,0.02444685,0.116503958,-0.174520607,-0.048554048,0.116460159,-0.703115795,0.116259806,0.025409716
15/11/2023,0.056359247,-0.178684635,-0.070493906,-0.41340044,0.050387202,-0.052275808,0.239462265,-0.056441311,-0.180173328
15/12/2023,0.044857205,0.000188454,-0.184224297,-0.019406495,0.29175006,-0.119511415,0.218555948,-0.116171432,0
15/01/2024,0.07351264,-0.206570938,-0.015797019,-0.40046842,-0.576042608,0.191757932,-0.433327352,0.096626836,-0.204014381
15/02/2024,-0.731290347,-0.017101686,-0.018487729,0.496379894,0.376315149,-0.178670297,0.381054285,-0.179693434,-0.021277398
15/03/2024,0.430183964,0.059303159,0.028876664,0.205588495,0.064386506,0.235595257,0.102934541,0.237217279,0.062520357
15/04/2024,0.01729586,-0.04510181,0.020027864,-0.11218894,0.138726319,-0.269863714,-0.034104308,-0.26922001,-0.046520016
15/05/2024,0.07882453,0.149582988,0.005425577,-0.310311107,-0.07703561,0.175673616,0.212495087,0.178248231,0.151880531
15/06/2024,-0.043926182,-0.036899164,-0.142197332,-0.144720718,0.004073676,-0.19762534,-0.256775564,-0.202940844,-0.037041272
